strategyId,name,summary,rampResource,payoffPattern,deckAdvice
blockToDamage,Block-to-Damage Engine,"Build Block/Guarded, then turn prevention into Counter damage or bash payoffs.",Block / Guarded,"Counter cards, shield-wall cards and guard-to-damage attacks.",Pair with Blue affinity and armour that starts combat with Block.
panicRamp,Panic Furnace,"Accept or generate Panic, then turn instability into bigger attacks.",Panic,"Strange attacks, scythes and cards that gain power from Panic or clearing Panic.",Pair with controlled Panic clearing so the deck does not collapse before the payoff.
bleedStatus,Status Stack,"Stack Bleed, Poison, Burn, Shock or Snared until the quarry buckles under pressure.",Status tokens,"Repeat hits, low-cost attacks and status riders.",Pair with Red affinity and draw/filtering to keep pressure constant.
weakPointBreaker,Weak-Point Breaker,"Open, mark and break weak points for burst damage and reward/control triggers.",Marked / Exposed / break damage,Break-damage attacks and weak-point payoff cards.,Pair with Purple reward pieces or ranged setup cards.
comboTempo,Combo Tempo,"Chain low-cost attacks, follow-ups and first-card bonuses into smooth damage turns.",Cards played this turn / cheap attacks,"Follow-up riders, extra draw, cost reduction and repeated attack bonuses.",Pair with draw/filtering so chain pieces appear together.
heavyBreaker,Heavy Breaker,"Build slowly into huge single hits, guard breaks and expensive attacks.",Energy / setup / exposed target,"High base damage, break damage and guard stripping.",Pair with Green or Blue support to survive the setup turn.
rangedControl,Ranged Control,"Mark, pin or soften the quarry from a distance before committing.",Marked / positioning / pinning,"Ranged attacks that ignore guard, break weak points or improve follow-up hits.",Pair with mobility and weak-point reward gear.
resourceHarvest,Resource Hunter,"Turn tests, broken weak points and retreats into more resources.",Harvest tests / weak-point breaks,"Extra resources, preserved resources, salvage and improved hunt rewards.",Pair with Purple affinity for reward spikes after a successful hunt.
partySupport,Party Support Weapon,Use weapon actions to protect or set up allies rather than only dealing damage.,Prepared / ally Block / party positioning,"Ally buffs, block grants, panic clear and shared payoffs.",Pair with Green affinity and other support gear.
woundRisk,Wound-Risk Berserker,"Grow damage from wounds, low safety or self-inflicted risk.",Wounds / low HP / self-risk,"Bonus damage when wounded, exposed or after paying risky costs.",Pair with healing or death prevention so ramp does not kill the survivor.
